ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
GLF3,G1159A,SPEY 511-8,2,GLF2,,J,SPEY MK511-8
GLF4,G450,TAY 611-8C,2,CRJ9,,J,11RR048
GLF5,G550,BR710-48,2,GLF5,,J,4BR008
GLF6,G650 ER,BR725,2,GLEX,,J,01P11BR016
GSPN,SPN GROB 180,FJ44-3A,2,C550,,J,1AS001
H25A,BAE125 3A RA,VIPER 522,2,H25A,,J,1AS002
H25B,BAE125 800XP,TFE731-5BR,2,H25B,,J,1AS002
H25C,BAE125 1000,PW305B,2,H25B,,J,PW307B
HA4T,HAWKER 4000 HORIZON,PW308A,2,HA4T,,J,01P07PW145
HDJT,HONDA JET,HF120,2,HDJT,,J,BIZLIGHTJET_F
HERN,DH114 HERON 2,GIPSY QUEEN 20-3,4,S2P,,P,Prop>500hp
IL18,IL18D,AI-20M,4,AN12,,T,AI-24VT
IL62,IL62M,D30KU,4,DC87,,J,1AA003
IL76,IL76TD,D30KP,4,IL76,,J,1AA002
IL86,IL86,NK-86,4,IL86,,J,1KK003
IL96,IL96 300,PS-90A,4,IL96,,J,13AA006
J328,DO328 310 JET,PW306B,2,E135,,J,7PW078
JCOM,IAI1121,CJ610-1,2,H25A,,J,1AS002
JS31,BAE3102,TPE331-1-UGR-514H,2,JS32,,T,TPE331-1
JS32,BAE3201,TPE331-12UAR-704H,2,JS32,,T,TPE331-12UA
JS41,BAE4101,TPE331-14HR-805H,2,JS41,,T,TPE331-14GR
JU52,JU52 3M,R-1340,3,S2P,,P,Prop>500hp
K100,KODIAK 100,PT6A-34,1,K100,,T,PT6A-34
K35E,B707 351C KC135A,UNKNOWN,4,B703,,J,1CM002
K35R,B707 KC 135R,UNKNOWN,4,B703,,J,1CM001
L101,L1011 KC2,RB211-524,3,L101,,J,1RR005
L188,L188CF,501-D13A,4,AN12,,T,501 D13 alternative 2
L200,L200D,M337,2,BE76,,P,Prop-300hp
L29A,L1329 8,JT12A-8,4,CL60,,J,1AS002
L29B,L1329 II,TFE731-3,4,CL60,,J,1AS002
L410,L410UVP E,M601E,2,L410,,T,TPE331-1
LJ24,LEARJET 24,CJ610-4,2,LJ25,,J,1AS002
LJ25,LEARJET 25D,CJ610-8A,2,LJ25,,J,1AS002
LJ31,LEARJET 31A,TFE731-2-3B,2,BE40,,J,1AS001
LJ35,LEARJET 35A,TFE731-2-2B,2,LJ35,,J,1AS001
LJ40,LEARJET 40,TFE731-20AR,2,LJ45,,J,1AS002
LJ45,LEARJET 45,TFE731-20AR,2,LJ45,,J,1AS002
LJ55,LEARJET 55,TFE731-3AR-2B,2,LJ60,,J,1AS002
LJ60,LEARJET 60,PW305A,2,LJ60,,J,03P16PW192
LJ70,LEARJET 70,TFE731-40BR,2,LJ75,,J,1AS002
LJ75,LEARJET 75,TFE731-40BR,2,LJ75,,J,1AS002
M600,PA46-600TP,PT6A-42A,1,TBM7,,T,PT6A-42
MA60,MA60,PW127J,2,F27,,T,PW127
