ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
3CM030,B738,B737 8D6,CFM56-7B20,2,B738,B738W26,J
3CM031,B736,B737 6Z9,CFM56-7B22,2,B736,B73622,J
3CM031,B737,B737 783,CFM56-7B22,2,B737,B737W24,J
3CM031,B738,B737 8AS,CFM56-7B22,2,B738,B738W26,J
3CM032,B737,B737 7K2,CFM56-7B24,2,B737,B737W24,J
3CM032,B738,B737 8AS,CFM56-7B24,2,B738,B738W26,J
3CM032,B739,B737 990,CFM56-7B24,2,B739,B739ERW26,J
3CM034,B737,C40B B737 7DM,CFM56-7B27,2,B737,B737W24,J
3CM034,B738,B737 8K2,CFM56-7B27,2,B738,B738W26,J
3CM034,B739,B737 9F2 ER,CFM56-7B27,2,B739,B739ERW26,J
3GE056,A306,A300C4 605F,CF6-80C2A5F,2,A306,A300B4-601,J
3GE066,B772,B777 228 ER,GE90-92B,2,B772,B772RR92,J
3GE068,B74R,B747SR 81 F SCD,CF6-45A2,4,B742,,J
3GE070,A30B,A300B2 103,CF6-50C,2,A30B,A300B4-203,J
3GE070,DC10,DC10 30,CF6-50C,3,DC10,,J
3GE072,DC10,DC10 30 F,CF6-50C2R,3,DC10,,J
3GE073,DC10,KC 10A,CF6-50C1,3,DC10,,J
3GE074,A30B,A300B4 203 F,CF6-50C2,2,A30B,A300B4-203,J
3GE074,DC10,DC10 30,CF6-50C2,3,DC10,,J
3GE077,B742,B747 21AC SCD,CF6-50E2,4,B742,B742RR,J
3GE077,B743,B747 329 SCD,CF6-50E2,4,B743,B743PW,J
3GE078,B743,B747 341,CF6-50C2B,4,B743,B743PW,J
3GE078,DC10,DC10 30 ER,CF6-50C2B,3,DC10,,J
3IA006,A319,A319 131,V2522-A5,2,A319,A319-131,J
3IA007,A319,A319 132,V2524-A5,2,A319,A319-131,J
3IA008,A321,A321 231 SL,V2533-A5,2,A321,A321-131,J
3RR031,F100,FOKKER 100,TAY 650-15,2,F100,F100-650,J
3RR032,B721,B727 185C RE,TAY 651-54,3,B722,,J
3RR032,B722,B727 23 Q,TAY 651-54,3,B722,,J
4AL003,E145,EMB145EU,AE3007A,2,E145,EMB-145ER,J
4BR005,B712,B717 2BL,BR715A,2,B712,B712HGW21,J
4BR007,B712,B717 22K,BR715C,2,B712,B712HGW21,J
4BR008,GLF5,G550,BR710-48,2,GLF5,,J
4CM035,A319,A319 113,CFM56-5A4,2,A319,A319-114,J
4CM036,A319,A319 114,CFM56-5A5,2,A319,A319-114,J
4GE081,A332,A330 202,CF6-80E1A4,2,A332,A330-203,J
4GE081,A333,A330 302,CF6-80E1A4,2,A333,A330-301,J
4PW068,MD81,MD81,JT8D-217,2,MD82,MD808120,J
4PW068,MD82,MD82,JT8D-217,2,MD82,MD808221,J
4PW068,MD83,MD83,JT8D-217,2,MD83,MD808321,J
4PW069,MD82,MDC SAIC MD82,JT8D-217A,2,MD82,MD808221,J
4PW070,B721,B727 17 RE,JT8D-217C2/17A1,3,B722,,J
4PW070,B722,B727 2X8 RE ADV,JT8D-217C2/17A1,3,B722,,J
4PW070,MD81,MD81,JT8D-217C,2,MD82,MD808120,J
4PW070,MD82,MD82,JT8D-217C,2,MD82,MD808221,J
4PW070,MD83,MD83,JT8D-217C,2,MD83,MD808321,J
4PW070,MD87,MD87,JT8D-217C,2,MD82,MD808720,J
4PW070,MD88,MD88,JT8D-217C,2,MD82,MD808821,J
4PW071,MD82,MD82,JT8D-219,2,MD82,MD808221,J
4PW071,MD83,MD83,JT8D-219,2,MD83,MD808321,J
4PW071,MD87,MD87,JT8D-219,2,MD82,MD808720,J
4PW071,MD88,MD88,JT8D-219,2,MD82,MD808821,J
4PW072,B752,B757 2Q8 F,PW2037,2,B752,B752WRR40,J
